id;start_date;end_date;language
1;2020-05-21T14:12:28;2020-05-21T12:02:43;SPANISH
2;2020-05-20T19:02:39;2020-05-21T14:07:04;SPANISH
3;2020-05-21T09:57:58;2020-05-20T20:32:07;FRENCH
4;2020-05-21T01:15:29;2020-05-21T12:46:55;FRENCH
5;2020-05-21T10:45:47;2020-05-21T15:32:46;FRENCH
6;2020-05-21T04:38:08;2020-05-21T16:46:22;FRENCH
7;2020-05-21T06:23:28;2020-05-21T00:14:19;FRENCH
8;2020-05-21T05:19:41;2020-05-21T15:35:49;SPANISH
9;2020-05-21T04:00:50;2020-05-21T00:42:13;SPANISH
10;2020-05-21T12:12:54;2020-05-20T22:47:24;SPANISH
